Epoch,Accuracy,Test_Accuracy,stat_FIM,emp_FIM,flat_FIM,y_pred_avg,y_pred_max,y_pred_min,y_pred_label
82,1.0,0.6935999989509583,"tf.Tensor(0.9675123, shape=(), dtype=float32)","tf.Tensor(0.9675123, shape=(), dtype=float32)","tf.Tensor(128490.43, shape=(), dtype=float32)","tf.Tensor(0.99864525, shape=(), dtype=float32)","tf.Tensor(0.99864525, shape=(), dtype=float32)","tf.Tensor(1.6033885e-10, shape=(), dtype=float32)","tf.Tensor(0.10050116, shape=(), dtype=float32)"
83,1.0,0.6945000290870667,"tf.Tensor(1.0183235, shape=(), dtype=float32)","tf.Tensor(1.0183235, shape=(), dtype=float32)","tf.Tensor(127361.31, shape=(), dtype=float32)","tf.Tensor(0.99867016, shape=(), dtype=float32)","tf.Tensor(0.99867016, shape=(), dtype=float32)","tf.Tensor(1.529971e-10, shape=(), dtype=float32)","tf.Tensor(0.100500636, shape=(), dtype=float32)"
84,1.0,0.6955999732017517,"tf.Tensor(81.95541, shape=(), dtype=float32)","tf.Tensor(0.8201257, shape=(), dtype=float32)","tf.Tensor(128506.82, shape=(), dtype=float32)","tf.Tensor(0.998766, shape=(), dtype=float32)","tf.Tensor(0.998766, shape=(), dtype=float32)","tf.Tensor(1.0518218e-10, shape=(), dtype=float32)","tf.Tensor(0.100502975, shape=(), dtype=float32)"
85,1.0,0.6944000124931335,"tf.Tensor(88.068665, shape=(), dtype=float32)","tf.Tensor(0.68817973, shape=(), dtype=float32)","tf.Tensor(134701.75, shape=(), dtype=float32)","tf.Tensor(0.99885917, shape=(), dtype=float32)","tf.Tensor(0.99885917, shape=(), dtype=float32)","tf.Tensor(1.14664014e-10, shape=(), dtype=float32)","tf.Tensor(0.100502, shape=(), dtype=float32)"
86,1.0,0.6938999891281128,"tf.Tensor(0.7202177, shape=(), dtype=float32)","tf.Tensor(0.7202177, shape=(), dtype=float32)","tf.Tensor(132703.17, shape=(), dtype=float32)","tf.Tensor(0.99887806, shape=(), dtype=float32)","tf.Tensor(0.99887806, shape=(), dtype=float32)","tf.Tensor(1.0062074e-10, shape=(), dtype=float32)","tf.Tensor(0.100502476, shape=(), dtype=float32)"
87,1.0,0.6938999891281128,"tf.Tensor(0.5888947, shape=(), dtype=float32)","tf.Tensor(0.5888947, shape=(), dtype=float32)","tf.Tensor(136252.95, shape=(), dtype=float32)","tf.Tensor(0.9989461, shape=(), dtype=float32)","tf.Tensor(0.9989461, shape=(), dtype=float32)","tf.Tensor(1.0287624e-10, shape=(), dtype=float32)","tf.Tensor(0.1005013, shape=(), dtype=float32)"
88,1.0,0.694100022315979,"tf.Tensor(45.31959, shape=(), dtype=float32)","tf.Tensor(0.5553248, shape=(), dtype=float32)","tf.Tensor(134289.27, shape=(), dtype=float32)","tf.Tensor(0.99899864, shape=(), dtype=float32)","tf.Tensor(0.99899864, shape=(), dtype=float32)","tf.Tensor(7.631408e-11, shape=(), dtype=float32)","tf.Tensor(0.10050244, shape=(), dtype=float32)"
89,1.0,0.6952999830245972,"tf.Tensor(172.35703, shape=(), dtype=float32)","tf.Tensor(0.51556414, shape=(), dtype=float32)","tf.Tensor(138439.25, shape=(), dtype=float32)","tf.Tensor(0.99903405, shape=(), dtype=float32)","tf.Tensor(0.99903405, shape=(), dtype=float32)","tf.Tensor(7.3111225e-11, shape=(), dtype=float32)","tf.Tensor(0.10050231, shape=(), dtype=float32)"
90,1.0,0.6951000094413757,"tf.Tensor(60.435055, shape=(), dtype=float32)","tf.Tensor(0.45366403, shape=(), dtype=float32)","tf.Tensor(138540.6, shape=(), dtype=float32)","tf.Tensor(0.99909294, shape=(), dtype=float32)","tf.Tensor(0.99909294, shape=(), dtype=float32)","tf.Tensor(8.209969e-11, shape=(), dtype=float32)","tf.Tensor(0.10050197, shape=(), dtype=float32)"
91,1.0,0.6937999725341797,"tf.Tensor(53.72567, shape=(), dtype=float32)","tf.Tensor(0.45132348, shape=(), dtype=float32)","tf.Tensor(137169.45, shape=(), dtype=float32)","tf.Tensor(0.99910927, shape=(), dtype=float32)","tf.Tensor(0.99910927, shape=(), dtype=float32)","tf.Tensor(6.1656305e-11, shape=(), dtype=float32)","tf.Tensor(0.100501046, shape=(), dtype=float32)"
92,1.0,0.6942999958992004,"tf.Tensor(60.923763, shape=(), dtype=float32)","tf.Tensor(0.4469164, shape=(), dtype=float32)","tf.Tensor(140160.86, shape=(), dtype=float32)","tf.Tensor(0.9991303, shape=(), dtype=float32)","tf.Tensor(0.9991303, shape=(), dtype=float32)","tf.Tensor(7.238414e-11, shape=(), dtype=float32)","tf.Tensor(0.10050085, shape=(), dtype=float32)"
93,1.0,0.695900022983551,"tf.Tensor(0.39252564, shape=(), dtype=float32)","tf.Tensor(0.39252564, shape=(), dtype=float32)","tf.Tensor(137689.12, shape=(), dtype=float32)","tf.Tensor(0.99916506, shape=(), dtype=float32)","tf.Tensor(0.99916506, shape=(), dtype=float32)","tf.Tensor(4.936228e-11, shape=(), dtype=float32)","tf.Tensor(0.10050145, shape=(), dtype=float32)"
94,1.0,0.6948999762535095,"tf.Tensor(362.76422, shape=(), dtype=float32)","tf.Tensor(0.3473998, shape=(), dtype=float32)","tf.Tensor(142357.58, shape=(), dtype=float32)","tf.Tensor(0.9992133, shape=(), dtype=float32)","tf.Tensor(0.9992133, shape=(), dtype=float32)","tf.Tensor(5.5824918e-11, shape=(), dtype=float32)","tf.Tensor(0.100501455, shape=(), dtype=float32)"
95,1.0,0.6955000162124634,"tf.Tensor(0.33495206, shape=(), dtype=float32)","tf.Tensor(0.33495206, shape=(), dtype=float32)","tf.Tensor(141383.06, shape=(), dtype=float32)","tf.Tensor(0.99923545, shape=(), dtype=float32)","tf.Tensor(0.99923545, shape=(), dtype=float32)","tf.Tensor(6.464249e-11, shape=(), dtype=float32)","tf.Tensor(0.100501716, shape=(), dtype=float32)"
96,1.0,0.6948000192642212,"tf.Tensor(79.89603, shape=(), dtype=float32)","tf.Tensor(0.31058982, shape=(), dtype=float32)","tf.Tensor(143978.52, shape=(), dtype=float32)","tf.Tensor(0.9992543, shape=(), dtype=float32)","tf.Tensor(0.9992543, shape=(), dtype=float32)","tf.Tensor(4.6132542e-11, shape=(), dtype=float32)","tf.Tensor(0.100502364, shape=(), dtype=float32)"
97,1.0,0.6951000094413757,"tf.Tensor(80.43405, shape=(), dtype=float32)","tf.Tensor(0.30156848, shape=(), dtype=float32)","tf.Tensor(144821.84, shape=(), dtype=float32)","tf.Tensor(0.9992712, shape=(), dtype=float32)","tf.Tensor(0.9992712, shape=(), dtype=float32)","tf.Tensor(5.072675e-11, shape=(), dtype=float32)","tf.Tensor(0.10050177, shape=(), dtype=float32)"
98,1.0,0.6955999732017517,"tf.Tensor(0.27791777, shape=(), dtype=float32)","tf.Tensor(0.27791777, shape=(), dtype=float32)","tf.Tensor(147815.78, shape=(), dtype=float32)","tf.Tensor(0.9992986, shape=(), dtype=float32)","tf.Tensor(0.9992986, shape=(), dtype=float32)","tf.Tensor(4.646136e-11, shape=(), dtype=float32)","tf.Tensor(0.10050175, shape=(), dtype=float32)"
99,1.0,0.6956999897956848,"tf.Tensor(104.06992, shape=(), dtype=float32)","tf.Tensor(0.28057188, shape=(), dtype=float32)","tf.Tensor(148386.55, shape=(), dtype=float32)","tf.Tensor(0.99931383, shape=(), dtype=float32)","tf.Tensor(0.99931383, shape=(), dtype=float32)","tf.Tensor(4.648532e-11, shape=(), dtype=float32)","tf.Tensor(0.100501485, shape=(), dtype=float32)"
100,1.0,0.6953999996185303,"tf.Tensor(0.25141716, shape=(), dtype=float32)","tf.Tensor(0.25141716, shape=(), dtype=float32)","tf.Tensor(151214.25, shape=(), dtype=float32)","tf.Tensor(0.99933714, shape=(), dtype=float32)","tf.Tensor(0.99933714, shape=(), dtype=float32)","tf.Tensor(3.831281e-11, shape=(), dtype=float32)","tf.Tensor(0.10050191, shape=(), dtype=float32)"
