,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
17,,172.03804,-3.088792,419.3843,-1.494567,2408.5698,-5.81928,802.3717,-4.470312,647.1018,-1.3810691,206.59747,-0.58493936,2572.8691,-5.823238,2893.289,-5.7778177,3053.0356,-3.821256,2297.3267,-4.5163503,438.51233,-0.79551375
18,,560.6373,-2.3878288,740.9411,-2.3829968,664.73346,-0.72961324,1864.7915,-1.7309847,2130.7458,-1.5792682,2692.4473,-6.8448935,2243.1582,-1.5402564,2587.6619,-1.3301213,4431.55,-4.601263,3643.8032,-1.6476169,3593.3892,-1.5903267
19,,352.19135,-2.826466,364.5241,-3.833031,473.24567,-1.3957111,776.61,-2.6045694,2311.0256,-4.1153803,1216.722,-4.106102,2979.8438,-2.8351934,1665.785,-4.384515,1171.5059,-1.3960353,1403.9568,-1.4671421,3119.0488,-3.3225558
20,,98.85443,-1.9094342,530.35443,-1.9905618,1700.5549,-3.4477038,2164.864,-7.0908318,2120.909,-5.790409,2275.7837,-5.4221683,2573.8853,-3.714139,1906.1746,-3.6851296,2699.8433,-6.3296814,3067.7334,-6.3081617,3.7382138,-0.039457507
21,,90.90842,-2.4926069,776.8208,-3.3143358,664.6266,-3.5379887,306.3121,-1.4845781,1280.4125,-3.2880719,707.75964,-2.5490165,2407.1978,-6.903709,2655.2375,-6.9042697,1173.9485,-2.128513,3693.7095,-5.8286524,3318.6675,-4.20462
22,,465.86325,-2.153329,1299.9893,-6.3161063,90.85756,-0.47365007,2226.7163,-6.858398,1701.8281,-4.929366,2675.508,-9.047302,1096.6783,-3.2814734,28.405064,-0.15492402,2938.9045,-7.6356554,2440.7803,-9.3021345,3682.6506,-7.5452557
23,,256.53802,-2.9223406,1605.6143,-3.5431933,149.70938,-0.57272595,675.4303,-3.8176494,600.02484,-1.4017502,3372.817,-5.36599,1570.3993,-4.304881,1436.3016,-2.5057993,3440.4868,-4.671294,3301.2761,-5.9380326,2357.1265,-3.772211
24,,580.6988,-2.9322035,611.5468,-3.149803,2432.4302,-3.082199,960.1522,-3.786679,2938.229,-2.9023871,1566.7573,-5.176959,747.0701,-1.8586593,6032.375,-4.1465483,2807.0083,-3.253807,3530.0542,-4.198416,4704.3823,-4.134518
25,,271.94867,-2.229559,627.91187,-2.5482044,2766.6992,-6.950702,778.25854,-1.659319,3759.5264,-7.307703,3125.6816,-4.534623,4695.872,-3.6203332,5314.494,-7.5824194,4971.2495,-5.0512586,6469.5635,-4.1445575,5277.1514,-5.2847676
26,,407.4975,-3.3974705,2750.1028,-5.0693007,1248.9331,-2.4364843,3377.5981,-4.500299,4071.146,-5.1918383,4043.8682,-3.003227,3193.3481,-3.061167,4211.3174,-3.5820255,2017.7461,-0.9633745,4376.1636,-3.9345202,5135.129,-4.051713
27,,320.01932,-1.2760259,1522.9255,-1.7675173,3078.0867,-7.7770824,4167.6357,-8.189793,3307.2754,-2.143729,2853.505,-2.7155342,4467.618,-9.777025,4503.3027,-9.846566,5136.08,-5.6203732,3541.9666,-2.4735973,6770.5977,-6.609162
28,,270.63693,-1.7710083,1555.0396,-4.3896093,889.69415,-2.8017812,1782.0494,-4.192256,2632.8098,-4.03067,1216.0695,-3.0077786,3413.228,-5.3527327,1053.2467,-4.321314,3989.1133,-4.524111,1891.1321,-4.441407,3440.5327,-5.8562627
29,,148.5762,-1.6440723,723.40735,-3.562739,1344.7571,-3.571612,1285.4862,-3.9471452,1698.5271,-2.3323624,1653.571,-4.7194934,2358.784,-2.8129466,659.23206,-0.8738297,2041.1433,-5.199742,3146.082,-2.539362,426.85092,-0.6077606
